Rank,Company,Country,Sales,Profits,Assets,Market Value,ISO-ALPHA-3,ISO-ALPHA-2,IOC,FIFA,Latitude,Longitude,ISO-Name,Historical,WikiData_ID,WikiData_Latitude,WikiData_Longitude,WikiData_Label,WikiData_Description
498,Intact Financial,Canada,16.21,1.86,43.73,26.07,CAN,CA,CAN,CAN,56.130366,-106.346771,1,0,Q16,56.0,-109.0,Canada,sovereign state in North America
499,George Weston,Canada,43.82,1.4,36.13,18.17,CAN,CA,CAN,CAN,56.130366,-106.346771,1,0,Q16,56.0,-109.0,Canada,sovereign state in North America
500,Parker-Hannifin,United States,18.16,1.5,30.52,42.75,USA,US,USA,USA,37.09024,-95.712891,0,0,Q30,39.83,-98.58,United States of America,sovereign state in North America
501,Air Products & Chemicals,United States,12.88,2.26,28.28,65.89,USA,US,USA,USA,37.09024,-95.712891,0,0,Q30,39.83,-98.58,United States of America,sovereign state in North America
502,Kotak Mahindra Bank,India,8.51,1.86,75.49,46.83,IND,IN,IND,IND,20.593684,78.96288,1,0,Q668,22.8,83.0,India,country in South Asia
503,Edison International,United States,17.22,0.943,78.85,28.17,USA,US,USA,USA,37.09024,-95.712891,0,0,Q30,39.83,-98.58,United States of America,sovereign state in North America
503,Standard Bank Group,South Africa,12.18,2.18,169.49,14.68,ZAF,ZA,RSA,RSA,-30.559482,22.937506,1,0,Q258,-29.0,24.0,South Africa,sovereign state in Southern Africa
505,Muyuan Foodstuff,China,18.51,1.97,27.75,36.11,CHN,CN,CHN,CHN,35.86166,104.195397,1,0,Q148,35.84,103.45,People's Republic of China,state in East Asia
506,Imperial Brands,United Kingdom,21.57,2.0,34.56,22.0,GBR,GB,GBR,,55.378051,-3.435973,0,0,Q145,54.6,-2.0,United Kingdom,country in Western Europe
506,Mitsui Fudosan,Japan,17.18,1.53,67.01,18.36,JPN,JP,JPN,JPN,36.204824,138.252924,1,0,Q17,35.0,136.0,Japan,sovereign state in East Asia
508,Public Service Enterprise Group,United States,11.04,2.32,49.41,31.84,USA,US,USA,USA,37.09024,-95.712891,0,0,Q30,39.83,-98.58,United States of America,sovereign state in North America
509,STMicroelectronics,Switzerland,16.84,4.59,21.2,38.26,CHE,CH,SUI,SUI,46.818188,8.227512,1,0,Q39,46.8,8.23,Switzerland,federal state in Western Europe
510,Inpex,Japan,17.67,3.33,47.46,14.37,JPN,JP,JPN,JPN,36.204824,138.252924,1,0,Q17,35.0,136.0,Japan,sovereign state in East Asia
511,Canadian Pacific Kansas City,Canada,6.99,2.82,54.31,75.1,CAN,CA,CAN,CAN,56.130366,-106.346771,1,0,Q16,56.0,-109.0,Canada,sovereign state in North America
511,Naspers,South Africa,7.57,3.76,62.16,35.64,ZAF,ZA,RSA,RSA,-30.559482,22.937506,1,0,Q258,-29.0,24.0,South Africa,sovereign state in Southern Africa
513,Samsung C&T,South Korea,32.8,1.71,46.64,13.6,KOR,KR,KOR,KOR,35.907757,127.766922,0,0,Q884,36.0,128.0,South Korea,sovereign state in East Asia
514,Alpha Dhabi Holding,United Arab Emirates,10.91,1.99,35.68,59.15,ARE,AE,UAE,UAE,23.424076,53.847818,1,0,Q878,24.4,54.3,United Arab Emirates,sovereign state in Southwest Asia
514,Capgemini,France,23.12,1.63,27.19,31.68,FRA,FR,FRA,FRA,46.227638,2.213749,1,0,Q142,47.0,2.0,France,country in Western Europe
516,Compass Group,United Kingdom,32.54,1.42,20.93,45.54,GBR,GB,GBR,,55.378051,-3.435973,0,0,Q145,54.6,-2.0,United Kingdom,country in Western Europe
517,Oneok,United States,21.71,2.38,24.46,28.86,USA,US,USA,USA,37.09024,-95.712891,0,0,Q30,39.83,-98.58,United States of America,sovereign state in North America
518,Kenvue,United States,14.93,2.09,27.32,45.48,USA,US,USA,USA,37.09024,-95.712891,0,0,Q30,39.83,-98.58,United States of America,sovereign state in North America
